entityType,canonicalName,aliases,category,priority,notes
organization,MAIRE,Maire Tecnimont; MAIRE S.p.A.,group_company,P0,Parent group; official scope and leadership anchor. Sources: https://www.groupmaire.com/en/ | https://www.groupmaire.com/en/about-us/ | https://www.groupmaire.com/media/filer_public/20/c4/20c48d20-e2c9-4a9c-8f27-ce79ce50921b/202503_-_maire_company_profile_-_fy_2024_results.pdf
organization,Tecnimont,Tecnimont S.p.A.,group_company,P0,Integrated E&C Solutions flagship EPC/execution arm. Sources: https://www.groupmaire.com/en/about-us/ec-solutions/ | https://www.groupmaire.com/en/
organization,NextChem,NEXTCHEM; NextChem Tech; NextChem Holding,group_company,P0,Sustainable Technology Solutions platform. Sources: https://www.groupmaire.com/en/about-us/sustainable-technology-solutions/ | https://www.nextchem.com/en/
organization,Stamicarbon,Stamicarbon B.V.,group_company,P0,Nitrogen/fertilizer licensor within MAIRE. Sources: https://www.stamicarbon.com/ | https://www.nextchem.com/en/solutions/technologies/
organization,KT Kinetics Technology,KT; KT Tech; KTI,group_company,P0,"Process engineering / proprietary equipment, increasingly integrated with NEXTCHEM. Sources: https://www.groupmaire.com/en/about-us/kt-kinetics-technology/ | https://www.groupmaire.com/media/filer_public/20/c4/20c48d20-e2c9-4a9c-8f27-ce79ce50921b/202503_-_maire_company_profile_-_fy_2024_results.pdf"
organization,MET Development,MET Development S.p.A.,group_company,P1,Project development/investment structuring vehicle. Source: https://www.groupmaire.com/en/about-us/met-development/
organization,Tecnimont Services,Tecnimont Services S.p.A.,group_company,P1,Lifecycle / services arm listed among group companies. Source: https://www.groupmaire.com/en/
organization,HyDEP,HyDEP S.r.l.,group_company,P1,Acquired in 2024 to strengthen green hydrogen electrochemistry capabilities. Source: https://www.groupmaire.com/en/about-us/history/
organization,GasConTec,GasConTec GmbH,group_company,P1,Added in 2024; low-carbon hydrogen / ammonia / methanol engineering competence. Source: https://www.groupmaire.com/en/about-us/history/
organization,Conser,Conser S.p.A.,group_company,P1,Acquired to reinforce technology portfolio in fuels/chemicals derivatives. Source: https://www.groupmaire.com/en/about-us/history/
organization,MyReplast Industries,MyReplast; MRI,group_company,P1,Owns NX Replast-based upcycling plant. Source: https://www.nextchem.com/en/about-us/our-companies/
organization,MyRechemical,MyRechemical S.r.l.,group_company,P1,Waste-to-chemical / circularity vehicle referenced in MAIRE history. Source: https://www.groupmaire.com/en/about-us/history/
organization,Technip Energies,T.EN; Technip,competitor,P0,Closest overlap in downstream EPC + LNG/gas treatment + hydrogen/ammonia/decarbonization. Official: https://www.technipenergies.com/
organization,KBR,Kellogg Brown & Root,competitor,P0,"Direct overlap in ammonia, hydrogen, refining/petrochemicals and technology licensing; explicitly requested by user. Official: https://www.kbr.com/"
organization,Worley,Worley Limited,competitor,P0,"Global engineering/services competitor across energy, chemicals and sustainability projects. Official: https://www.worley.com/"
organization,Saipem,Saipem S.p.A.,competitor,P0,Italian peer with large EPC and energy-transition project overlap. Official: https://www.saipem.com/
organization,Wood,John Wood Group; Wood plc,competitor,P1,Engineering competitor in process industries and consulting-led transformation programs. Official: https://www.woodplc.com/
organization,Samsung E&A,"Samsung Engineering; Samsung E&A Co., Ltd.",competitor,P1,Frequent competitor / consortium peer in Middle East petrochemical and low-carbon projects. Official: https://www.samsungena.com/
organization,McDermott,McDermott International,competitor,P1,Competes in downstream/onshore complex project execution. Official: https://www.mcdermott.com/
organization,Lummus Technology,Lummus,competitor,P0,Strong overlap in petrochemicals/process technologies and licensing. Official: https://www.lummustechnology.com/
organization,Honeywell UOP,UOP; Honeywell UOP,competitor,P1,"Competes in refining, petrochemical and process technology packages. Official: https://uop.honeywell.com/"
organization,Topsoe,Haldor Topsoe; Topsoe A/S,competitor,P0,"Competes in hydrogen, ammonia, e-fuels and catalysis/technology licensing. Official: https://www.topsoe.com/"
organization,thyssenkrupp Uhde,Uhde; thyssenkrupp nucera; thyssenkrupp Industrial Solutions,competitor,P0,Competes in ammonia/fertilizers/hydrogen and plant engineering. Official: https://www.thyssenkrupp-industrial-solutions.com/
organization,Casale,Casale SA,competitor,P0,Strong overlap in ammonia/urea/nitrates and fertilizer licensing. Official: https://www.casale.ch/
organization,Johnson Matthey,JM; Johnson Matthey plc,competitor,P0,Competes in catalysts/process technology and was explicitly cited by the user. Official: https://matthey.com/
organization,Air Liquide Engineering & Construction,Air Liquide E&C,competitor,P1,Relevant in hydrogen/process plants and EPC-like engineered solutions. Official: https://www.airliquide.com/group/engineering-construction
organization,Shell Catalysts & Technologies,Shell C&T,competitor,P1,Competes in process technology/catalysts for refining and low-carbon fuels. Official: https://www.shell.com/business-customers/catalysts-technologies.html
organization,ADNOC,Abu Dhabi National Oil Company,client_target,P0,"Named MAIRE client on Hail & Ghasha, largest award in group history. Source: https://www.groupmaire.com/en/newsroom/press-releases/detail/maire-awarded-usd-87-billion-contract-by-adnoc-for-the-onshore-portion-of-the-hail-and-ghasha-development-project-in-abu-dhabi-the-largest-award-ever-for-the-group/"
organization,Saudi Aramco,Aramco; Saudi Arabian Oil Company,client_target,P0,Strategic account via SATORP JV and core regional refiner/petrochemical spender. Sources: https://www.groupmaire.com/en/newsroom/press-releases/detail/maire-awarded-two-petrochemical-contracts-worth-around-usd-2-billion-in-saudi-arabia/ | https://www.aramco.com/en/news-media/news
organization,TotalEnergies,Total; TotalEnergies SE,client_target,P0,Strategic account via SATORP JV and global downstream/low-carbon spend. Sources: https://www.groupmaire.com/en/newsroom/press-releases/detail/maire-awarded-two-petrochemical-contracts-worth-around-usd-2-billion-in-saudi-arabia/ | https://totalenergies.com/media/news
